gene	gene_name	beta.old	p.old	p_adj.old	beta.hmm	p.hmm	p_adj.hmm	sig_both
YNL307C	MCK1	0.040054124679603106	0.2591279296399243	0.5394636626290037	0.08979407325445177	0.033328973599383666	0.14265965031491648	0
YNL306W	MRPS18	0.04899330601272652	0.2771677497764478	0.5583909928495382	0.09831454044988448	0.06649081422521556	0.23293172302915047	0
YNL044W	YIP3	0.22136228561253912	1.2056761298331106e-9	3.763706186186035e-8	0.1913218093613192	8.621490952652908e-8	2.1448693989315687e-6	1
YNL042W	BOP3	-0.0650564100438036	0.6669504737591603	0.855463038967193	-0.047750239448219864	0.7591971640556231	0.8955054876141055	0
YNL041C	COG6	-0.421194552128336	1.5595089892635538e-6	3.132439982123228e-5	-0.40838543711905906	5.184736672556789e-6	9.1404296518708e-5	1
YNL040W	YNL040W	-0.44807452636689954	3.029395668294555e-8	8.113152005634762e-7	-0.49717293968311516	6.182057423017052e-9	1.7927966526749452e-7	1
YNL039W	BDP1	-0.4030478160119457	0.0012828826189841174	0.012353085782602016	-0.42152744407611464	0.0013886316000884772	0.012196565362067431	1
YNL038W	GPI15	-0.0618424791289791	0.4662058373075575	0.7267666881124958	-0.09297866586427875	0.3010041861380415	0.5676112028713125	0
YNL037C	IDH1	0.06766852282965671	0.1450169815516515	0.3926675284998033	0.07704174865855792	0.11395008827502161	0.32967496023369597	0
YNL036W	NCE103	0.12999703572924126	0.0400977549084846	0.17530695522433812	0.040631147050235	0.5390710436939276	0.7705900837397429	0
YNL035C	YNL035C	-0.16488707287651855	0.11654897463569378	0.3466059009038442	-0.2031740183080512	0.061667013950208335	0.22028428233962907	0
YNL032W	SIW14	-0.03154313691612804	0.6699096800641565	0.8572395148810524	-0.06725906128824127	0.3716112601729635	0.6354734075742128	0
YNL031C	HHT2	-0.011144417766862251	0.7856675667653423	0.9081293415761867	0.013542177782593225	0.7305970930344464	0.8815873126470346	0
YNL030W	HHF2	-0.032471122194275344	0.5576440382451608	0.792091400522786	-0.03403512859280871	0.5321204255429391	0.7645898499098739	0
YNL029C	KTR5	0.03195355089390404	0.7247623041147051	0.8823487019380633	0.04911662644284978	0.5970111183852914	0.8061232224156551	0
YNL027W	CRZ1	0.13493562253548108	0.13426359059090148	0.37714402294428784	0.11046056636838102	0.23219379403804602	0.4947746889480276	0
YNL026W	SAM50	0.0756863075585717	0.36696344092210387	0.6457765974718963	0.07958746077862379	0.35274713930319435	0.6180957203163945	0
YNL025C	SSN8	0.1151549169096186	0.5070718253274172	0.7549104573782889	-0.018084901638939763	0.9187471261308698	0.9684834898267722	0
YNL024C-A	KSH1	0.18886380382385226	3.756213650976616e-5	5.78905757969698e-4	0.19456750214816357	3.2622187704967916e-5	4.980727163303668e-4	1
YNL024C	EFM6	0.023822528612120152	0.8841638808783856	0.9498656686069635	-0.12039389633657974	0.4720834748168101	0.7154239672471201	0
YNL023C	FAP1	-0.05623653028597088	0.6772403955305473	0.8604956614562019	0.05828729330226445	0.6733308369923341	0.8502935055900773	0
YNL022C	RCM1	-0.15586004633951156	0.09540767550524792	0.3042244747242811	-0.20195133398030307	0.03559604633090741	0.14939395298571312	0
YNL021W	HDA1	-0.12818808520121514	0.35682174273748846	0.6364446742772625	-0.1689057651710949	0.2375941669595694	0.501485362734216	0
YNL016W	PUB1	0.09434290326895901	0.003069359155213043	0.025714408922562607	0.07155595170385073	0.029607063402145323	0.13064269839351872	0
YNL015W	PBI2	0.5261849898983884	5.7140322536724715e-39	1.1201788830099512e-36	0.5262976823837837	1.9318786440964633e-39	4.303698743053076e-37	1
YNL011C	YNL011C	-0.02671848127059291	0.7556227892715348	0.8969017413949605	-0.00725707446595035	0.9350135732648289	0.9746354240442434	0
YNL010W	YNL010W	0.03058663673881299	0.31873976383522973	0.6015185146540087	0.026698157011907555	0.39529192565791393	0.6549444650606614	0
YNL009W	IDP3	-0.10031944731757492	0.48635720630409335	0.7411805560001123	-0.08976620527467805	0.547275163284027	0.7758737562207163	0
YNL008C	ASI3	0.04317579967049892	0.5855771872065735	0.8091101760641153	0.01890373511813424	0.8193857186403027	0.9242369176193611	0
YNL007C	SIS1	-0.019921524704480876	0.7242348021285344	0.8822954922276777	-0.06432188542356326	0.26354050616830726	0.5303991398714447	0
YNL006W	LST8	-0.013300213344527094	0.8524819161133232	0.9371946771806634	-0.03459183785141292	0.6437979193655805	0.8322504570488205	0
YNL005C	MRP7	0.03269461903717048	0.5738443943695402	0.8007310518599503	0.04227139570801676	0.48438813860935215	0.7255459252214044	0
YNL004W	HRB1	0.09403807504311655	0.10059838803595535	0.3162493263401008	0.06326446358172037	0.28453147207862495	0.5518356725988686	0
YNL003C	PET8	0.029963253513650007	0.6505315370976398	0.8463644978273247	0.05330782979014361	0.4448526301757901	0.6921342033306499	0
YNL002C	RLP7	-0.018982331358396654	0.732029749725836	0.885310056952018	-0.06511453658623946	0.2614824763012693	0.52781120937089	0
YNL001W	DOM34	0.05302471626511194	0.5097596053172383	0.7572997349681069	0.04677330916105369	0.5815596695190828	0.7995018065394179	0
YNR001C	CIT1	-0.14004005176021198	0.0014539042884983092	0.013572542700819454	-0.1407148089206512	0.0018424895242145113	0.015279257458841488	1
YNL305C	BXI1	-0.03569442422078236	0.5069024995640221	0.7549104573782889	6.245794004936242e-4	0.9921468424532088	0.9983354495228153	0
YNL304W	YPT11	-0.03732513552157204	0.7741540071204241	0.9035791352458201	-0.08594549276766227	0.573103434446905	0.7923215605710244	0
YNL302C	RPS19B	0.0038295939273612152	0.8697608996257054	0.9445375956272063	-0.001471023050127447	0.9524725697607127	0.9830719652499513	0
YNL301C	RPL18B	0.613856639237218	1.1665693495974637e-73	5.7173563823771695e-71	0.4550045109572111	4.093095367934819e-27	5.143656512371423e-25	1
YNR002C	ATO2	0.15812304274140074	0.2692736895824355	0.5501085254870849	0.22684900651528667	0.1414245540151965	0.3723252896033453	0
YNR003C	RPC34	-0.27440989133596466	0.011712061708179873	0.07349656137232978	-0.23027092830046417	0.0471297094294409	0.18201946880511413	0
YNR006W	VPS27	-0.0056342457507821304	0.9411844203384552	0.9752103264437143	-0.008349235106269942	0.918756378823997	0.9684834898267722	0
YNR007C	ATG3	-0.06425503803419665	0.49094311099724247	0.7426272182091005	-0.08108155586990715	0.41632731851216465	0.6704836276285869	0
YNR008W	LRO1	-0.010683608942805903	0.8968143443164973	0.9541706743464841	-0.032315549006337645	0.714829971071265	0.8740413599927345	0
YNR009W	NRM1	0.016638062349456962	0.8615415924710778	0.940155456759049	-0.018522631599139496	0.8554541057069864	0.9422865102465445	0
